lexeme	seyame	word_type	grammatical_category	rest	first_suffix	second_suffix	third_suffix	prefix	first_vowel	second_vowel	third_vowel	fourth_vowel	num_vowels	radical_type	verbal_conjugation	root	root_seyame	root_type	ety_language	ety_type	ety_rest
>MJN	0	normal	particle	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>MJN	0	parethesied			
>MJN>	0	normal	adjective	0	n/a	n/a	n/a	n/a	a	i	n/a	n/a	2	tri	peal	>MN	0	normal			
>MJN>JT	0	normal	adverb_AiYT	0	n/a	n/a	oAiYT	n/a	a	i	n/a	n/a	2	tri	peal	>MN	0	normal			
HJMN	0	normal	verb	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	HJMN	0	normal			
HJMNWT>	0	normal	noun	0	n/a	n/a	uOToA	n/a	a	n/a	o	n/a	2	tri	p	HJMN	0	normal			
MHJMN>	0	normal	noun	0	n/a	n/a	n/a	M	a	n/a	n/a	n/a	1	tri	p	HJMN	0	normal			
MHJMN>	0	normal	noun	0	n/a	n/a	n/a	M	a	n/a	n/a	n/a	1	tri	p	HJMN	0	normal			
>MPJPWLJS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>MPJPWLJS	0	normal			
>MPL>WS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>MPL>WS	0	normal			
>MR	0	normal	verb	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>MR	0	normal			
>MR>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>MR	0	parethesied			
>MT>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>M	0	parethesied			
>MT>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>M	0	parethesied			
>MTJ	0	normal	particle	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>MTJ	0	normal			
>N	0	normal	particle	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>N	0	normal			
>NDJN	0	normal	particle	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	compound	n/a	>N	0	normal			
>N>	0	normal	pronoun	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>N>	0	normal			
>N>SJPRWS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>N>SJPRWS	0	normal			
>NDR>WS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>NDR>WS	0	normal			
>NDRWNJQWS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>NDRWNJQWS	0	normal			
>NWC	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>NWC	0	normal			
>NX	0	normal	verb	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>NX	0	normal			
TNXT>	0	normal	noun	0	ToA	n/a	n/a	T	n/a	n/a	n/a	n/a	0	n/a	ethpael	>NX	0	normal			
>NVJWKJ	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>NVJWKJ	0	normal			
